time,acc-x,acc-y,acc-y,att-x,att-y,att-z,gyr-x,gyr-y,gyr-z,latitude,logitude,heading
490.1300820112228,0.006820841,0.0005342474,-0.02009189,0.1124348,-2.351526,0.03180695,0.004278572,-0.006982203,-0.01319135,44.81446,20.43819,355.5917
124.6970199942589,-0.02678239,0.07107776,0.08009531,0.08419294,-1.681777,0.05301113,-0.04349391,0.05506279,-0.01145143,44.81171,20.43215,345.5917
287.1570839881897,-0.007703574,-0.008061816,0.03593209,0.1670766,-1.40483,0.03223633,0.01504766,0.005254608,0.009364787,44.81356,20.43371,350.5917
634.4329959750175,-0.006113019,-0.0101616,0.01345626,0.1725786,-2.194822,0.02199013,-0.0237513,-0.03200943,0.008260885,44.81467,20.4449,354.5917
1173.495590984821,0.01976295,0.01542967,-0.1068092,-0.01687399,-0.03288406,-0.0593876,0.05435511,-0.0009297657,-0.02632119,44.81294,20.46032,329.0893
1058.374023973942,0.06267623,0.04972679,0.06697636,0.1168566,-1.308767,0.03169191,-0.09965746,0.2059457,0.399155,44.81344,20.45823,350.5917
789.4156309962273,-0.01329714,0.01452793,0.006155752,0.1900163,-2.175318,0.0003953183,-0.04284493,0.01692904,-0.005188397,44.81491,20.45245,354.5917
521.3523110151291,0.01224042,0.05481651,-0.03523665,0.2081255,-2.361735,0.02089634,0.00492198,-0.02172462,0.002459745,44.8144,20.43848,355.5917
81.57627499103546,-0.007011667,-0.001536991,-0.01217615,0.1106577,-1.777028,0.0248665,-0.007251684,5.591789e-05,0.003023467,44.80911,20.43103,349.5917
330.1829990148544,-0.002229255,0.001463831,-0.01591298,0.07895367,-1.317789,0.01893671,-0.01709811,0.01635241,-0.002119164,44.81404,20.43423,352.5917
1212.609484016895,0.0270405,-0.02994886,-0.06971395,0.04804203,-0.2679605,0.03459077,-0.08101294,-0.04245603,0.04876119,44.81306,20.46036,335.0893
1101.811919987202,-0.0002147744,0.006531068,-0.01928033,-0.02814061,-0.1797049,-0.207452,0.01081032,0.1015575,-0.1365978,44.81488,20.46281,331.5917
827.4510769844055,-0.001311739,0.008853787,-0.03409965,0.1373677,-2.258387,0.008594958,0.0004157772,-0.01196955,-0.0007682396,44.8147,20.45548,357.5917
35.16005802154541,-0.1250556,-0.01004723,-0.0930777,0.2101703,-0.9565361,-0.060907,0.05484451,-0.04673809,-0.2677419,44.8368,20.31816,98.59166
362.0808969736099,-0.00257939,-0.009329925,-0.01720007,0.1196019,-1.231084,-0.001228828,-0.000312977,-0.0007512952,-0.002909104,44.81437,20.43452,347.5917
1254.742546975613,-0.006859594,0.1412539,-0.0183673,0.1597085,-0.2381505,0.05439225,-0.0334005,-0.02891603,0.00667041,44.81681,20.46245,339.0893
1135.062792003155,0.00739333,0.003199658,-0.0141237,0.006907599,-0.1343531,-0.01751122,0.000661318,0.02100859,-0.002496731,44.81493,20.46267,334.0893
868.3334590196609,-0.002273966,-0.06950862,-0.03822967,0.1296919,-2.250396,-0.001030588,0.01402199,0.01611257,-0.003786914,44.81432,20.45547,357.5917
1275.080314993858,-0.02010632,0.01721612,0.01593102,0.04532307,0.6486648,-0.03855181,-0.06174489,-0.09869007,0.05498331,44.81737,20.46184,319.0893
404.1095730066299,0.004661125,-0.008771345,-0.02382807,0.1097809,-2.416336,-0.001542359,0.02207275,-0.008622834,-0.009853803,44.81444,20.4357,351.5917
893.1626049876213,0.01578522,-0.008498395,0.08198819,0.1320523,-2.242445,0.02557793,-0.02667345,0.1091887,0.03744833,44.8137,20.4562,354.5917
1324.93308198452,-0.003302859,-0.03942739,-0.01812165,0.06792463,2.402176,0.02313365,-0.01625378,-0.003627752,0.07065485,44.81821,20.46043,310.0893
937.0447329878807,-4.713235e-05,0.000365643,-0.0165036,0.07258818,-1.963747,1.359569e-06,0.01059033,-0.008365244,-0.0037491,44.81344,20.45823,356.5917
663.6337689757347,0.002437088,-0.02115398,-0.0268422,0.09771482,-2.157904,0.04616984,0.008826538,-0.004167239,-0.005372983,44.81483,20.44768,349.5917
1372.272081017494,-0.01204357,0.0108171,-0.004975396,0.005629146,2.535132,-0.07205004,0.00128469,0.01361863,0.04552527,44.81831,20.45986,210.0893
